StartDate,EndDate,Status,Unnamed: 3,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID2,pre_Q1_estimate,Q1,Q2,Q3,Q4,Q5,Q6,Q7,post_Q1_estimate,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Condition,condition,pre_accuracy_error,post_accuracy_error,accuracy_improvement
Start Date,End Date,Response Type,,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"You are invited to take part in a short research study about how people understand social issues. Participation is voluntary. You may skip any question and stop at any time. The topic includes economic inequality and opportunity, which some people may find sensitive. No personally identifying information is required. Your responses will be used for research purposes.",,Inequality is largely caused by systems and policies that shape opportunities.,"Differences in wealth mostly reflect unequal access to education, housing, and jobs.","Even when people work hard, structural barriers can limit economic outcomes.",Economic inequality is mainly the result of individual choices and effort.,Government should take steps to reduce large gaps in wealth and opportunity.,"Policies that expand access to quality education and job opportunities are worth supporting, even if they cost money.",Employers and institutions should review rules and practices to reduce unfair barriers.,,"Inequality is not a major problem, so major policy changes are unnecessary.",Inequality is largely caused by systems and policies that shape opportunities.,"Differences in wealth mostly reflect unequal access to education, housing, and jobs.","Even when people work hard, structural barriers can limit economic outcomes.",Economic inequality is mainly the result of individual choices and effort.,Government should take steps to reduce large gaps in wealth and opportunity.,"Policies that expand access to quality education and job opportunities are worth supporting, even if they cost money.",Employers and institutions should review rules and practices to reduce unfair barriers.,"Inequality is not a major problem, so major policy changes are unnecessary.",Condition,condition,,,
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}",,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}",,"{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID17""}","{""ImportId"":""QID16""}",,"{""ImportId"":""QID15""}","{""ImportId"":""QID1219647577""}","{""ImportId"":""QID1219647578""}","{""ImportId"":""QID1219647579""}","{""ImportId"":""QID1219647580""}","{""ImportId"":""QID1219647581""}","{""ImportId"":""QID1219647582""}","{""ImportId"":""QID1219647583""}","{""ImportId"":""QID1219647584""}","{""ImportId"":""Condition""}","{""ImportId"":""condition""}",,,
22-12-2025 20:57,22-12-2025 20:59,Survey Preview,,100,96,TRUE,22-12-2025 20:59,R_6lnjuxDxLe5S0GK,,,,,42.1327,-87.7614,preview,EN,I agree to participate.,50.0,Neither agree nor disagree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,40.0,Disagree,,,,,,,,,,structural_data,34.0,24.0,10.0
22-12-2025 20:59,22-12-2025 20:59,Survey Preview,,100,3,TRUE,22-12-2025 20:59,R_69g1r81GDJuD3S5,,,,,42.1327,-87.7614,preview,EN,I do not agree to participate.,,,,,,,,,,,,,,,,,,,,,,,
23-12-2025 13:08,23-12-2025 13:11,Survey Preview,,100,126,TRUE,23-12-2025 13:11,R_68M3ECZMMf5HgOm,,,,,42.1327,-87.7614,preview,EN,I agree to participate.,20.0,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Agree,10.0,Strongly disagree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,,ai_explanation,4.0,6.0,-2.0
23-12-2025 13:17,23-12-2025 13:20,IP Address,,100,182,TRUE,23-12-2025 13:20,R_7VPdGa1KtDL2fMA,,,,,42.1327,-87.7614,anonymous,EN,I agree to participate.,45.0,Somewhat disagree,Neither agree nor disagree,Agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,50.0,Somewhat disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,,hybrid,29.0,34.0,-5.0
23-12-2025 13:25,23-12-2025 13:47,IP Address,,100,1314,TRUE,23-12-2025 13:47,R_6ZTyTfoyytFAM5j,,,,,42.1327,-87.7614,anonymous,EN,I agree to participate.,35.0,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,35.0,Disagree,Somewhat agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,,narrative_story,19.0,19.0,0.0
26-12-2025 12:58,26-12-2025 13:01,IP Address,,100,159,TRUE,26-12-2025 13:01,R_6PxW48Sq3EkD3jz,,,,,42.1081,-87.7359,anonymous,EN,I agree to participate.,55.0,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,50.0,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Disagree,,control,39.0,34.0,5.0
27-12-2025 19:09,27-12-2025 19:12,IP Address,,100,194,TRUE,27-12-2025 19:12,R_1lcwQE7HpSMswTA,,,,,41.8835,-87.6305,anonymous,EN,I agree to participate.,45.0,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,40.0,Disagree,,,,,,,,,,structural_data,29.0,24.0,5.0
27-12-2025 19:12,27-12-2025 19:15,IP Address,,100,144,TRUE,27-12-2025 19:15,R_1smZuKgfzuc8p8Z,,,,,41.8835,-87.6305,anonymous,EN,I agree to participate.,40.0,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Agree,Strongly agree,45.0,Strongly disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,ai_explanation,24.0,29.0,-5.0
29-12-2025 15:20,29-12-2025 15:22,IP Address,,100,159,TRUE,29-12-2025 15:22,R_6DRIt6x0U49rozt,,,,,42.1081,-87.7359,anonymous,EN,I agree to participate.,40.0,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Agree,Agree,Somewhat agree,40.0,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Disagree,,control,24.0,24.0,0.0
30-12-2025 15:27,30-12-2025 15:34,IP Address,,100,415,TRUE,30-12-2025 15:34,R_7rWFHthAWFCb6xj,,,,,42.1081,-87.7359,anonymous,EN,I agree to participate.,50.0,Agree,Somewhat agree,,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,50.0,Strongly disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,hybrid,34.0,34.0,0.0
30-12-2025 17:12,30-12-2025 17:15,IP Address,,100,148,TRUE,30-12-2025 17:15,R_1THSf9edjxFz5ti,,,,,42.1081,-87.7359,anonymous,EN,I agree to participate.,30.0,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,20.0,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,,narrative_story,14.0,4.0,10.0
13-01-2026 12:30,13-01-2026 12:32,IP Address,,100,121,TRUE,13-01-2026 12:32,R_377jz2Kg5NfIxsH,,,,,42.1081,-87.7359,anonymous,EN,I agree to participate.,25.0,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,25.0,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,control,9.0,9.0,0.0
13-01-2026 12:33,13-01-2026 12:37,IP Address,,100,207,TRUE,13-01-2026 12:37,R_1I9Ikhceb2VLBL3,,,,,42.1081,-87.7359,anonymous,EN,I agree to participate.,50.0,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,30.0,Somewhat disagree,Agree,Agree,Agree,Somewhat disagree,Strongly agree,Agree,Agree,Strongly disagree,,structural_data,34.0,14.0,20.0
13-01-2026 12:42,13-01-2026 12:45,IP Address,,100,160,TRUE,13-01-2026 12:45,R_1w0155IxHUpEwZv,,,,,42.1081,-87.7359,anonymous,EN,I agree to participate.,45.0,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,30.0,Neither agree nor disagree,Agree,Agree,Agree,Somewhat disagree,Agree,Agree,Agree,Strongly disagree,,hybrid,29.0,14.0,15.0
13-01-2026 12:56,13-01-2026 12:59,IP Address,,100,159,TRUE,13-01-2026 12:59,R_7XZNVJp21pxwX61,,,,,42.1081,-87.7359,anonymous,EN,I agree to participate.,50.0,Disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40.0,Somewhat disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,,ai_explanation,34.0,24.0,10.0
13-01-2026 13:04,13-01-2026 13:06,IP Address,,100,114,TRUE,13-01-2026 13:06,R_3QhG389rplBdQYN,,,,,42.1081,-87.7359,anonymous,EN,I agree to participate.,35.0,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,35.0,Disagree,Agree,Agree,Agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,,narrative_story,19.0,19.0,0.0
